iter	Passed	Remaining
0	0	21
1	0	21
2	0	20
3	0	18
4	1	20
5	1	20
6	1	20
7	1	20
8	2	21
9	2	20
10	2	20
11	2	19
12	2	19
13	3	19
14	3	19
15	3	18
16	3	18
17	4	18
18	4	17
19	4	17
20	4	17
21	4	17
22	5	16
23	5	16
24	5	16
25	5	16
26	5	16
27	6	15
28	6	15
29	6	15
30	6	15
31	6	14
32	7	14
33	7	14
34	7	14
35	7	13
36	7	13
37	8	13
38	8	13
39	8	12
40	8	12
41	8	12
42	9	11
43	9	11
44	9	11
45	9	11
46	9	11
47	10	10
48	10	10
49	10	10
50	10	10
51	10	9
52	11	9
53	11	9
54	11	9
55	11	9
56	11	8
57	11	8
58	12	8
59	12	8
60	12	8
61	12	7
62	12	7
63	13	7
64	13	7
65	13	6
66	13	6
67	13	6
68	14	6
69	14	6
70	14	5
71	14	5
72	14	5
73	15	5
74	15	5
75	15	4
76	15	4
77	16	4
78	16	4
79	16	4
80	16	3
81	17	3
82	17	3
83	17	3
84	17	3
85	17	2
86	18	2
87	18	2
88	18	2
89	18	2
90	18	1
91	19	1
92	19	1
93	19	1
94	19	1
95	20	0
96	20	0
97	20	0
98	20	0
99	20	0
